Name,"CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)",Exp
TPA-TTAR-A,2.9667833143301467,2.934764636129481,2.4145119441884657,2.489953321400458
SGT-129,2.9597726555852204,2.852009646389964,1.9522281500345233,2.9107905024822256
TPA-T-TTAR-A,2.869300152854101,2.8179823058823903,2.271139518036243,3.00241344808094
TTAR-9,2.836288007633816,2.7717476676071895,2.234631021909224,2.3892037650432143
IQ4,2.8217657793041786,2.779950126796162,2.104400166413394,2.3440392326227375
C271,2.8065019443166563,2.8014295326964467,2.5167889627502653,2.440938492239032
TPA-T-TTAR-T-A,2.78795052287121,2.71019770082274,2.1156021873633866,3.00241344808094
S-DAHTDTT,2.7514517364311546,2.6718309718970654,2.1052576469565842,2.81178402280596
T-DAHTDTT,2.747428165771006,2.673732138899515,2.1006213011306594,2.8571353780125066
TTAR-15,2.7418997745830267,2.6913156097960416,2.2387462158904965,2.489953321400458
TTAR-B8,2.720424637584581,2.6758092273740925,2.2356785555629384,2.5566943382627385
Y123,2.6465685314866247,2.624331754618896,2.201933363031268,2.4505864704692257
SGT-121,2.6428456575319768,2.5842418232653817,1.985360734677343,2.6354872562325786
IQ6,2.625276298472314,2.574369908977989,1.962548081062039,2.283603598632464
D-DAHTDTT,2.589098102138993,2.508286985309143,1.9843122964593185,2.824593972795964
IQ21,2.5645200902908427,2.5292119731116087,2.057095761471538,2.226206021647088
TH304,2.564201898460292,2.573995836047304,2.025708189530701,2.1830928768616693
NKX-2883,2.5284383876216876,2.52570883808418,2.2222164051208386,2.2463709312634568
C272,2.5269956267728317,2.440842396081706,1.9922186852244916,2.4218686602684145
FNE52,2.4994391446603133,2.4444993771585146,1.9018938526602476,2.357408277675719
BTD-1,2.493909523254617,2.4041661090358653,1.7559465200411066,2.407760687490152
ZL003,2.4867100873333334,2.4355042473333333,2.0297539280000003,2.3892041346666666
SGT-130,2.4750928243226973,2.3835548777606594,1.721046446248287,2.410100590976537
WS-6,2.443680417116505,2.4021634135169077,1.9454896748473072,2.2669044863938357
WS-8,2.443680417116505,2.4021634135169077,1.9454896748473072,2.2669044863938357
C258,2.421821359069995,2.344438097327387,1.8877641416092135,2.7074164935751703
NL7,2.4198835995031973,2.407106328488233,2.0054612638602456,2.1052576469565842
DQ5,2.411788139528977,2.359561489681512,1.9340499018271022,2.2669044863938357
XY1,2.397399667333333,2.313388712,1.8384485499999998,2.24637142
WS-55,2.3964068376187155,2.3431533523382995,1.9694680104468294,2.2222164051208386
NL11,2.358753574391151,2.3477672562432375,1.9482713038642308,2.1754329018551375
D1,2.3356918333333336,2.2840852606666666,1.7418130166666665,2.1754327439999996
NL8,2.3354303683160906,2.332925861787756,1.9232806819248802,1.9745171242952677
AP25,2.328090904,2.294186521999999,1.91949948,1.8787826426666667
SGT-136,2.3205268995759942,2.230290215578669,1.6512814164535021,2.3352104596185086
JW1,2.3184893093333336,2.300787118666667,1.9095381253333332,2.1016889393333336
HKK-BTZ4,2.300721304099429,2.234308901325144,1.7011424491815677,2.2962902852915335
D3,2.3001875186666663,2.208275834,1.548370064666667,2.206400085333333
TP1,2.2820486115490883,2.2489784425011394,1.835563777211458,2.1342457040575358
FNE34,2.2778146773530037,2.2495904538332545,1.9006985914214323,1.983994806491885
NL6,2.248980679333333,2.237779152,1.3822438893333333,2.0490000886666664
S3,2.230290215578669,2.192511411799683,1.6514133659054542,1.9745171242952677
R4,2.229528299004672,2.1786435344321955,1.6620826406506644,2.022833204008855
NL2,2.211160602110288,2.205771940475004,1.8741826940803303,1.9967741611230725
AP3,2.151576822004144,2.1220466749793405,1.693336912188546,1.9076873139345047
NL4,2.1299564629874923,2.1187471235496425,1.8075227457762577,1.8873618783218085
R6,2.1084077298126713,2.047347941183879,1.6161152580674707,1.9651295626900604
FNE32,2.0375246542072163,2.023229268465977,1.759809193689404,2.0805314665393086
